trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.95}",25,6,-65.03946125139116,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.001, 'e': 0.8999999999999999}",20,0,-233.46179292424617,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 4}",0
3,False,"{'a': 0.001, 'e': 0.8499999999999999}",20,0,-102.16531682123471,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.7999999999999998}",35,17,-87.85742226811618,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
5,False,"{'a': 0.001, 'e': 0.7499999999999998}",20,0,-141.34251208022133,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.001, 'e': 0.6999999999999997}",25,0,-143.64185188427922,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.001, 'e': 0.6499999999999997}",20,0,-142.2822817326113,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.001, 'e': 0.5999999999999996}",20,1,-19.187298641638023,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.001, 'e': 0.5499999999999996}",25,0,-109.93971521294733,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.001, 'e': 0.4999999999999996}",25,0,-193.74848516930328,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.001, 'e': 0.4499999999999996}",20,0,-19.5710043240535,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.001, 'e': 0.39999999999999963}",20,0,-22.562400513686207,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.001, 'e': 0.34999999999999964}",20,0,-42.55987960898256,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.001, 'e': 0.29999999999999966}",25,0,-35.32583729957689,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.001, 'e': 0.24999999999999967}",25,14,18.32421666638256,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.001, 'e': 0.19999999999999968}",25,0,-100.8001296099965,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.1499999999999997}",20,0,24.859851730804625,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.001, 'e': 0.09999999999999969}",25,9,27.976089051987085,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.001, 'e': 0.049999999999999684}",30,19,20.12868817429505,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.001, 'e': -3.191891195797325e-16}",25,8,-13.745147642663541,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,10,36.94449050974212,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,33.37852503973982,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,8.913370917679106,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,13,26.667353932684396,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,1,35.55074941842625,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,29.412992229065672,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,5.714811522472331,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,5,23.275025430810576,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,24,19.003015771973228,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,4,-17.345375489405576,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
