trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3528,False,"{'a': 0.001, 'e': 0.029392962618734357}",25,12,28.040859323971496,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3529,False,"{'a': 0.001, 'e': 0.029363584347699333}",35,18,33.57869669842848,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3530,False,"{'a': 0.001, 'e': 0.029334235440251103}",30,18,22.130709755152143,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3531,False,"{'a': 0.001, 'e': 0.029304915867040746}",30,18,24.337399766089348,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3532,False,"{'a': 0.001, 'e': 0.02927562559874871}",25,20,9.2405910334502,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3533,False,"{'a': 0.001, 'e': 0.029246364606084714}",25,11,25.622173997097697,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3534,False,"{'a': 0.001, 'e': 0.029217132859787758}",20,11,16.718964114714705,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3535,False,"{'a': 0.001, 'e': 0.029187930330626086}",20,10,19.849118040754277,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3536,False,"{'a': 0.001, 'e': 0.02915875698939719}",25,5,31.753031292465103,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3537,False,"{'a': 0.001, 'e': 0.02912961280692771}",20,0,31.412923870151293,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3538,False,"{'a': 0.001, 'e': 0.02910049775407347}",30,21,16.16188669698807,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3539,False,"{'a': 0.001, 'e': 0.02907141180171939}",20,13,15.257006776982198,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3540,False,"{'a': 0.001, 'e': 0.029042354920779553}",25,2,28.19655213537953,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
3541,False,"{'a': 0.001, 'e': 0.029013327082197053}",30,10,33.371724058421265,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3542,False,"{'a': 0.001, 'e': 0.028984328256944056}",20,9,9.746096627449463,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
3543,False,"{'a': 0.001, 'e': 0.028955358416021718}",30,5,46.399726931398845,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
