trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.999}",25,0,-72.21432406398637,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
2,False,"{'a': 0.001, 'e': 0.998}",25,0,-114.72452677572986,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.997}",25,0,-91.77618847651111,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.001, 'e': 0.996}",25,12,-64.36578016340287,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.001, 'e': 0.995}",25,14,-18.61722012608166,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.001, 'e': 0.994}",30,0,-149.53766922566706,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.001, 'e': 0.993}",25,11,-10.030876021089476,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.001, 'e': 0.992}",30,0,-85.89536219884292,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.991}",30,0,-73.02599667292263,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.99}",25,0,-79.14214544279686,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.989}",30,0,-203.95364608510096,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
12,False,"{'a': 0.001, 'e': 0.988}",30,0,-124.67317893031027,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.987}",20,0,-121.13827959041359,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.001, 'e': 0.986}",30,0,-40.30396510364183,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.001, 'e': 0.985}",30,0,-136.4390756432016,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.984}",20,0,-75.19490613003192,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.983}",30,20,11.710333239401406,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.001, 'e': 0.982}",30,0,-57.09800236861679,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.001, 'e': 0.981}",20,6,-110.8608462289721,"{0: 6, 1: 0, 2: 6, 3: 1, 4: 1}",1
20,False,"{'a': 0.001, 'e': 0.98}",20,0,-27.52379078824337,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.001, 'e': 0.979}",25,0,-29.423892190983086,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.001, 'e': 0.978}",25,0,-117.14855600850323,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
23,False,"{'a': 0.001, 'e': 0.977}",20,0,-111.06737790795947,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
24,False,"{'a': 0.001, 'e': 0.976}",20,10,-15.143166378360878,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.001, 'e': 0.975}",20,0,-38.196813237600146,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.001, 'e': 0.974}",20,0,-64.60964624052949,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.001, 'e': 0.973}",20,0,-120.65268077707361,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
28,False,"{'a': 0.001, 'e': 0.972}",20,0,-69.60774790316617,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.001, 'e': 0.971}",25,0,-115.60814441286921,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.001, 'e': 0.97}",20,0,-90.59275791591176,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.001, 'e': 0.969}",25,0,-47.09484035087885,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
32,False,"{'a': 0.001, 'e': 0.968}",25,0,-80.53849106022138,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
33,False,"{'a': 0.001, 'e': 0.967}",20,0,-96.2447101233021,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
34,False,"{'a': 0.001, 'e': 0.966}",25,0,-107.74473778656653,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.001, 'e': 0.965}",25,0,-121.83836416679242,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
36,False,"{'a': 0.001, 'e': 0.964}",20,0,-50.864741587892546,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.001, 'e': 0.963}",20,0,-142.46081932973144,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
38,False,"{'a': 0.001, 'e': 0.962}",20,5,-84.73451297044166,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 1}",1
39,False,"{'a': 0.001, 'e': 0.961}",25,0,-78.09780997498586,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 0.001, 'e': 0.96}",20,0,-94.50422796065895,"{0: 13, 1: 0, 2: 3, 3: 4, 4: 0}",0
41,False,"{'a': 0.001, 'e': 0.959}",20,0,-44.75043413917817,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
42,False,"{'a': 0.001, 'e': 0.958}",20,0,-162.11962720366674,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
43,False,"{'a': 0.001, 'e': 0.957}",25,0,-83.51775106482819,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.956}",20,10,-7.7599612750232625,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.001, 'e': 0.955}",25,0,-53.83796590712224,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
46,False,"{'a': 0.001, 'e': 0.954}",20,0,-84.9028374774114,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.001, 'e': 0.953}",20,0,-131.5088073199765,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
48,False,"{'a': 0.001, 'e': 0.952}",25,0,-182.9372334765256,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
49,False,"{'a': 0.001, 'e': 0.951}",30,0,-71.10422470360288,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
50,False,"{'a': 0.001, 'e': 0.95}",20,0,-26.794408092856553,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.001, 'e': 0.949}",30,0,-62.04235665105622,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.001, 'e': 0.948}",20,0,-52.63626408718371,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.001, 'e': 0.947}",20,12,-39.556596998310276,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.001, 'e': 0.946}",20,0,-18.35546314368272,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.001, 'e': 0.945}",25,0,-146.81806968172324,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
56,False,"{'a': 0.001, 'e': 0.944}",20,0,-78.75479264443301,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.001, 'e': 0.943}",30,0,-126.81289679990282,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.001, 'e': 0.942}",25,0,-180.59192637806026,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
59,False,"{'a': 0.001, 'e': 0.941}",20,0,-52.74692008305311,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.001, 'e': 0.94}",20,7,-96.94906758299129,"{0: 6, 1: 4, 2: 1, 3: 0, 4: 2}",1
61,False,"{'a': 0.001, 'e': 0.939}",25,0,-122.61012839383278,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
62,False,"{'a': 0.001, 'e': 0.938}",30,0,-113.77063328709359,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
63,False,"{'a': 0.001, 'e': 0.9369999999999999}",25,0,-49.65723723389943,"{0: 18, 1: 6, 2: 0, 3: 0, 4: 1}",0
64,False,"{'a': 0.001, 'e': 0.9359999999999999}",30,1,-54.188755002785975,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 1}",1
65,False,"{'a': 0.001, 'e': 0.9349999999999999}",30,0,-45.401280183979885,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
