trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.005, 'e': 0.8146473164114145}",20,1,-109.65941434307395,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
43,False,"{'a': 0.005, 'e': 0.8105842459701871}",20,0,-121.44272476298399,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
44,False,"{'a': 0.005, 'e': 0.8065414401773269}",25,6,-1.516431624364451,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.005, 'e': 0.8025187979624785}",20,0,-109.34168977043169,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
46,False,"{'a': 0.005, 'e': 0.7985162187593771}",20,0,-33.50240724878813,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.005, 'e': 0.794533602503334}",30,0,-233.9721628159625,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
48,False,"{'a': 0.005, 'e': 0.7905708496287356}",35,0,-197.6525633264037,"{0: 25, 1: 2, 2: 3, 3: 1, 4: 4}",0
49,False,"{'a': 0.005, 'e': 0.7866278610665535}",20,0,-163.9088085684888,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
50,False,"{'a': 0.005, 'e': 0.7827045382418681}",20,0,-43.42720594707974,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.005, 'e': 0.7788007830714049}",25,0,-163.06624076965565,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
52,False,"{'a': 0.005, 'e': 0.774916497961081}",25,0,-67.93910507480591,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.005, 'e': 0.7710515858035663}",25,0,-106.35704717120986,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.005, 'e': 0.7672059499758557}",25,0,-20.66858677693432,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.005, 'e': 0.7633794943368531}",20,0,-102.19333858853153,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.005, 'e': 0.7595721232249685}",30,0,-61.40615091292625,"{0: 20, 1: 6, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.005, 'e': 0.7557837414557255}",20,0,-21.690463685286925,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
58,False,"{'a': 0.005, 'e': 0.7520142543193826}",25,19,0.6245605114562496,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.005, 'e': 0.7482635675785653}",20,0,-37.65456516451374,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 0.005, 'e': 0.7445315874659094}",30,3,-57.33892990719611,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 0}",1
61,False,"{'a': 0.005, 'e': 0.7408182206817179}",25,0,-177.2030061615441,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
62,False,"{'a': 0.005, 'e': 0.7371233743916278}",30,2,-81.85167528394864,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 0}",1
63,False,"{'a': 0.005, 'e': 0.7334469562242892}",25,0,-70.52831136116971,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.005, 'e': 0.7297888742690568}",20,0,-17.730286206967598,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.005, 'e': 0.7261490370736909}",20,12,2.2627207247128287,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.005, 'e': 0.7225273536420722}",20,0,-44.377755106031174,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
67,False,"{'a': 0.005, 'e': 0.7189237334319262}",25,8,23.94243270555719,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.005, 'e': 0.7153380863525599}",25,0,1.617905949026466,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.005, 'e': 0.7117703227626097}",30,0,-90.60565369509017,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
70,False,"{'a': 0.005, 'e': 0.7082203534678}",30,0,-198.73184846521065,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
71,False,"{'a': 0.005, 'e': 0.7046880897187134}",25,0,-72.53376052830598,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
72,False,"{'a': 0.005, 'e': 0.7011734432085724}",20,0,-71.77281284398917,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.005, 'e': 0.697676326071031}",20,0,-18.313337435130148,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.005, 'e': 0.6941966508779789}",30,0,-115.02893999972524,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
75,False,"{'a': 0.005, 'e': 0.6907343306373547}",30,10,-100.43351138669377,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",1
76,False,"{'a': 0.005, 'e': 0.6872892787909722}",20,0,-87.49013459933803,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
77,False,"{'a': 0.005, 'e': 0.6838614092123558}",20,0,-48.33086305308552,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
78,False,"{'a': 0.005, 'e': 0.6804506362045877}",25,0,-77.21241109376935,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.005, 'e': 0.6770568744981647}",25,0,-124.41081046284866,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
80,False,"{'a': 0.005, 'e': 0.6736800392488677}",20,0,-66.16732328336997,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
81,False,"{'a': 0.005, 'e': 0.6703200460356393}",30,16,-74.29298655520486,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
82,False,"{'a': 0.005, 'e': 0.6669768108584744}",25,0,-110.48584303171867,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
83,False,"{'a': 0.005, 'e': 0.6636502501363194}",20,0,-66.59304578688041,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
84,False,"{'a': 0.005, 'e': 0.6603402807049829}",20,0,-40.03764945390349,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.005, 'e': 0.6570468198150567}",25,10,-37.05392444605334,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.005, 'e': 0.6537697851298473}",20,0,-145.24622336531945,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
87,False,"{'a': 0.005, 'e': 0.6505090947233165}",20,6,-47.29598131416913,"{0: 9, 1: 2, 2: 1, 3: 2, 4: 0}",1
88,False,"{'a': 0.005, 'e': 0.6472646670780347}",25,0,-29.31891684304694,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.005, 'e': 0.6440364210831414}",25,14,-10.748331618227503,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.005, 'e': 0.6408242760323187}",25,0,-78.98913990414741,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
91,False,"{'a': 0.005, 'e': 0.6376281516217733}",25,5,17.121033637392234,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.005, 'e': 0.6344479679482282}",20,8,-4.121929471987148,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.005, 'e': 0.631283645506926}",30,1,-49.102376354037546,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 0}",1
94,False,"{'a': 0.005, 'e': 0.6281351051896408}",30,19,-52.10170671396539,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 1}",1
95,False,"{'a': 0.005, 'e': 0.6250022682827008}",20,14,-36.36434696381973,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.005, 'e': 0.62188505646502}",30,0,-89.7536039731981,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
97,False,"{'a': 0.005, 'e': 0.6187833918061408}",20,0,-88.41539297250168,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
98,False,"{'a': 0.005, 'e': 0.6156971967642851}",20,0,-92.34623473900409,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
99,False,"{'a': 0.005, 'e': 0.6126263941844161}",30,2,-43.00746359121319,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 0}",1
100,False,"{'a': 0.005, 'e': 0.6095709072963093}",20,15,1.9381577763685787,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.005, 'e': 0.6065306597126334}",20,0,-13.149225925983114,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.005, 'e': 0.6035055754270405}",20,0,-111.34846637111305,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
103,False,"{'a': 0.005, 'e': 0.6004955788122659}",20,7,-34.43315127653643,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.005, 'e': 0.5975005946182375}",25,1,-56.62573013279105,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
105,False,"{'a': 0.005, 'e': 0.5945205479701944}",25,1,-61.70825392896732,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
106,False,"{'a': 0.005, 'e': 0.5915553643668151}",20,0,-69.8965911708215,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
107,False,"{'a': 0.005, 'e': 0.5886049696783552}",20,0,-48.467747645083314,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
108,False,"{'a': 0.005, 'e': 0.5856692901447937}",20,0,-48.531836107859625,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.005, 'e': 0.5827482523739896}",25,5,-31.022198097181217,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
110,False,"{'a': 0.005, 'e': 0.5798417833398464}",25,0,-29.955616811070758,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.005, 'e': 0.5769498103804866}",30,0,-173.5153749318181,"{0: 19, 1: 2, 2: 3, 3: 4, 4: 2}",0
112,False,"{'a': 0.005, 'e': 0.574072261196436}",20,3,-1.0207452876056722,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.005, 'e': 0.5712090638488149}",25,13,-31.480109879573696,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.005, 'e': 0.5683601467575404}",20,0,-25.46278022695349,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
115,False,"{'a': 0.005, 'e': 0.5655254386995371}",25,0,-114.36226619059566,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
116,False,"{'a': 0.005, 'e': 0.5627048688069557}",20,0,-71.02414278616514,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
117,False,"{'a': 0.005, 'e': 0.559898366565402}",20,0,-113.77303817445167,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
118,False,"{'a': 0.005, 'e': 0.5571058618121739}",25,13,-75.80829289920489,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 1}",1
119,False,"{'a': 0.005, 'e': 0.5543272847345071}",25,0,-8.94827821390854,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
120,False,"{'a': 0.005, 'e': 0.5515625658678298}",20,0,-48.98572101005241,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.005, 'e': 0.5488116360940265}",20,7,-47.755126556396846,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
122,False,"{'a': 0.005, 'e': 0.5460744266397094}",30,1,-12.31943263047797,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 0}",1
123,False,"{'a': 0.005, 'e': 0.5433508690744998}",20,6,21.773927287025877,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.005, 'e': 0.5406408953093166}",20,9,-28.023929900416714,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
125,False,"{'a': 0.005, 'e': 0.5379444375946745}",20,6,-3.637261712115719,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.005, 'e': 0.5352614285189903}",25,9,-59.102914713120725,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
127,False,"{'a': 0.005, 'e': 0.5325918010068972}",25,0,-37.787526831930904,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
128,False,"{'a': 0.005, 'e': 0.5299354883175685}",20,0,-48.039773827994175,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
129,False,"{'a': 0.005, 'e': 0.5272924240430485}",25,4,-44.00784679798207,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 0}",1
130,False,"{'a': 0.005, 'e': 0.5246625421065929}",25,11,-58.0479231748805,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
131,False,"{'a': 0.005, 'e': 0.522045776761016}",20,0,-104.2596029092424,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
132,False,"{'a': 0.005, 'e': 0.5194420625870482}",20,0,-55.68868841571868,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
133,False,"{'a': 0.005, 'e': 0.5168513344916992}",25,17,3.1752814671199974,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.005, 'e': 0.5142735277066319}",20,0,-8.778524332165553,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
135,False,"{'a': 0.005, 'e': 0.5117085777865424}",20,8,-4.0418061547311,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.005, 'e': 0.5091564206075492}",20,0,-40.229173173601154,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
137,False,"{'a': 0.005, 'e': 0.5066169923655895}",20,0,-108.7926749804071,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
138,False,"{'a': 0.005, 'e': 0.5040902295748255}",25,7,-3.6996663445310225,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.005, 'e': 0.5015760690660555}",20,0,14.007697765295369,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.005, 'e': 0.49907444798513595}",20,0,-71.93961661978705,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
141,False,"{'a': 0.005, 'e': 0.49658530379140947}",20,5,-53.41902029163433,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 0}",1
142,False,"{'a': 0.005, 'e': 0.4941085742561417}",20,10,13.984196285072164,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.005, 'e': 0.4916441974609651}",25,1,-27.214600116013607,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 0}",1
144,False,"{'a': 0.005, 'e': 0.48919211179633154}",20,11,-1.9913138868767755,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.005, 'e': 0.4867522559599717}",30,18,-12.499129556756236,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.005, 'e': 0.48432456895536247}",25,3,-47.852773306278145,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
147,False,"{'a': 0.005, 'e': 0.48190899009020244}",20,10,-36.743406467578325,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.005, 'e': 0.4795054589748941}",30,8,-17.53648469910838,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
149,False,"{'a': 0.005, 'e': 0.4771139155210344}",20,0,-10.605359114816535,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.005, 'e': 0.4747342999399124}",20,0,-24.39380050372193,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
151,False,"{'a': 0.005, 'e': 0.4723665527410147}",25,0,5.236701866588787,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.005, 'e': 0.47001061473053796}",20,5,12.183317727784011,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.005, 'e': 0.46766642700990924}",30,6,-54.12530754227661,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 2}",1
154,False,"{'a': 0.005, 'e': 0.4653339309743134}",30,8,-28.5842204711829,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
155,False,"{'a': 0.005, 'e': 0.46301306831122807}",20,0,17.390660857467125,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
