trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-118.84065383328952,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-53.49192543961038,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-22.958832197372374,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-126.04444488161965,"{0: 9, 1: 1, 2: 7, 3: 3, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-110.67429229587772,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-31.33100998860198,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,0,-117.8410551875316,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-121.86799534975982,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-65.74168388202067,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-23.60788259067255,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-133.06056710885312,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-227.15968846876135,"{0: 11, 1: 6, 2: 3, 3: 1, 4: 4}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",30,0,-127.47874511007244,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,1,-175.5540858633624,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 3}",1
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-79.61683573285745,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-49.226801491636024,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-31.856501513104106,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-115.18682879908525,"{0: 15, 1: 5, 2: 1, 3: 3, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-107.68788938288846,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-196.47728349467766,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
21,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-50.20080575265662,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,-57.73938481767916,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.8025187979624785}",30,0,-152.85397659493646,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-66.51299658807295,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,0,-43.26531084947112,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7788007830714049}",25,0,-142.0559032121147,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.7710515858035663}",25,8,-102.9572576750718,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 1}",1
28,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,0,-135.37050332288334,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
29,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,0,-172.62601125959628,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-120.88185305800808,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,7,-72.0790476370086,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
32,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,-103.28275433351718,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,0,-93.47180845107155,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.7189237334319262}",20,0,-78.6961179590237,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.7117703227626097}",30,0,-112.79217164352323,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.7046880897187134}",25,0,-111.95882590714842,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.697676326071031}",25,0,-100.56274302102395,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.6907343306373547}",20,7,-53.096270530632374,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,-83.02753367234315,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,4,-132.7443934104377,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 3}",1
41,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,0,-12.934050523011475,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.6636502501363194}",25,0,-63.57030927178367,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6570468198150567}",30,0,8.811107154870548,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-125.995150896572,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
